FamilyID	Metridia.pacifica<54>	Metridia.lucens<55>	Metridia.longa<56>	Pleuromamma.robusta<57>	Pleuromamma.xiphias<58>	Pleuromamma.abdominalis<59>	Pseudocalanus.sp<60>	Euchaetidae.sp<61>	Calanoides.acutus<62>	Calanoides.carinatus<63>	Neocalanus.cristatus<64>	Neocalanus.flemingeri<65>	Neocalanus.plumchrus<66>	Calanus.hyperboreus<67>	Calanus.propinquus<68>	Calanus.finmarchicus<69>	Calanus.glacialis<70>	Calanus.marshallae<71>	Calanus.helgolandicus<72>	Calanus.sinicus<73>	Calanus.pacificus<74>	Rhincalanus.gigas<75>	Eucalanus.bungii<76>	Eucalanus.hyalinus<77>	Pseudodiaptomus.annandalei<78>	Gigantodiaptomus.amblyodon<79>	Eurytemora.affinis<80>	Eurytemora.carolleeae<81>	Temora.stylifera<82>	Temora.longicornis<83>	Acartia.fossae<84>	Acartia.clausii<85>	Acartia.tonsa<86>	Labidocera.madurae<87>	Tracheliastes.polycolpus<88>	Lepeophtheirus.salmonis<89>	Caligus.confusus<90>	Caligus.clemensi<91>	Caligus.rogercresseyi<92>	Eucyclops.serrulatus<93>	Apocyclops.royi<94>	Lernaea.cyprinacea<95>	Paracyclopina.nana<96>	Oithona.similis<97>	Oithona.nana<98>	Platychelipus.littoralis<99>	Tisbe.furcata<100>	Tigriopus.kingsejongensis<101>	Tigriopus.californicus<102>	Tigriopus.japonicus<103>	Amphibalanus.amphitrite<104>	Penaeus.aztecus<105>	Drosophila.melanogaster<106>	<107>	<159>	<160>	<161>	<162>	<163>	<164>	<165>	<166>	<167>	<168>	<169>	<170>	<171>	<172>	<173>	<174>	<175>	<176>	<177>	<178>	<179>	<180>	<181>	<182>	<183>	<184>	<185>	<186>	<187>	<188>	<189>	<190>	<191>	<192>	<193>	<194>	<195>	<196>	<197>	<198>	<199>	<200>	<201>	<202>	<203>	<204>	<205>	<206>	<207>	<208>	<209>
OG0000056	22	22	24	17	51	45	45	62	28	65	33	26	43	50	32	36	43	38	22	27	45	38	14	13	17	12	10	10	36	6	11	9	1	11	3	4	8	11	3	7	5	4	6	5	5	11	9	4	4	5	8	2	0	6	8	16	21	22	22	25	40	19	27	38	48	40	43	39	35	34	42	37	37	37	39	36	28	27	17	16	15	13	11	13	16	11	9	6	7	5	5	6	6	7	6	5	6	6	5	8	7	5	5	4	4
OG0000058	20	12	13	7	14	15	25	40	41	43	45	47	49	46	56	33	90	45	17	29	67	58	18	22	16	12	12	10	15	6	12	8	4	12	5	5	6	5	6	3	7	12	5	6	7	7	6	2	5	5	6	2	0	5	6	11	11	13	15	10	13	17	28	33	32	39	41	43	45	47	46	50	48	46	58	47	30	35	24	14	14	12	11	11	10	11	10	7	6	5	5	5	5	6	7	8	6	6	6	6	5	4	5	3	3
OG0000068	17	27	21	18	43	20	16	34	27	53	30	29	28	19	25	35	47	22	19	22	38	26	14	13	13	6	6	6	29	8	13	7	7	12	13	7	11	7	10	21	9	20	7	8	8	36	12	7	11	6	11	3	4	9	11	14	18	20	21	20	26	14	19	23	24	28	35	27	28	28	24	26	29	32	33	30	23	20	15	11	10	10	7	12	15	12	11	8	12	11	9	10	9	14	13	16	15	9	8	19	13	9	9	7	7
OG0000069	36	16	18	4	46	29	15	35	27	40	25	15	22	26	29	30	44	8	11	3	25	23	3	18	28	2	25	30	35	25	24	27	1	38	13	16	8	6	16	1	8	8	7	6	6	12	3	15	10	12	18	6	5	10	11	15	16	19	23	15	29	18	20	23	24	26	31	25	23	20	26	26	24	26	25	20	11	18	13	19	16	24	26	27	29	29	23	17	11	12	12	10	10	10	8	7	5	7	6	10	8	11	11	9	10
OG0000070	17	21	20	12	81	74	46	72	23	49	31	23	22	29	8	23	13	16	6	25	15	44	18	32	7	3	1	6	39	0	6	10	3	9	1	0	9	14	5	11	5	15	8	12	9	5	10	5	0	5	33	3	0	7	8	14	19	19	19	26	59	16	28	36	50	32	34	27	27	24	23	15	16	18	16	15	15	32	27	9	6	8	5	9	12	8	7	6	6	3	3	7	8	7	9	11	9	9	10	6	7	5	3	6	10
OG0000071	26	23	16	18	55	61	14	42	51	29	55	72	38	25	17	20	26	13	7	15	19	14	7	42	6	1	5	4	4	5	2	5	1	7	5	4	3	2	5	3	7	7	6	1	2	11	21	8	8	6	74	13	23	20	17	17	21	20	23	27	47	14	18	25	26	31	36	34	46	51	26	20	19	19	19	17	13	17	19	8	5	6	5	5	5	5	3	3	10	6	4	3	3	9	6	6	5	5	2	11	13	9	8	23	31
OG0000075	26	20	23	24	35	25	20	45	26	44	23	16	19	21	34	35	46	26	14	39	33	25	8	23	10	3	6	8	22	9	10	9	5	10	4	6	14	6	4	4	8	8	15	13	11	16	11	16	15	13	9	6	5	8	9	14	19	21	22	23	27	15	20	25	29	27	32	25	22	19	25	30	31	34	35	30	27	20	17	11	8	10	8	11	13	10	9	8	8	6	7	8	6	10	10	8	7	12	12	13	13	14	14	7	7
OG0000076	70	35	42	19	64	42	15	48	40	32	9	32	8	17	53	30	29	54	19	32	86	48	7	20	3	4	3	2	11	3	2	1	0	1	1	1	1	1	1	4	4	6	4	1	1	5	6	1	3	2	3	0	0	3	4	13	25	37	46	28	43	13	21	25	28	26	32	22	16	17	25	39	42	37	39	51	33	27	18	6	4	4	3	4	5	2	2	1	3	1	1	1	1	3	3	4	4	3	1	4	4	2	2	2	2
OG0000077	33	43	32	28	36	25	21	49	32	40	17	24	20	15	18	19	18	38	12	46	24	15	32	26	11	11	12	12	12	11	13	6	0	12	7	7	18	14	7	12	6	9	4	5	5	10	11	16	8	8	5	2	3	7	9	16	24	30	35	27	29	16	20	25	30	26	32	21	20	21	18	19	21	22	25	23	25	20	26	13	12	12	12	11	11	11	10	5	8	8	9	12	11	8	7	8	8	5	5	10	11	12	9	5	4
OG0000078	23	16	14	20	50	39	25	26	11	22	16	29	16	23	11	21	26	18	11	21	23	13	10	22	17	5	6	7	27	9	18	6	7	19	3	5	3	4	4	9	4	25	5	19	19	12	28	10	21	19	53	21	28	22	18	17	19	17	18	24	37	15	16	19	23	18	17	18	18	20	19	16	18	20	21	19	17	15	15	12	11	11	8	14	16	15	13	8	12	6	5	4	4	13	13	15	9	11	16	14	18	15	18	26	31
OG0000079	19	19	13	12	67	65	18	25	27	47	24	14	13	14	24	37	55	35	12	18	52	10	2	38	19	3	10	7	6	9	6	4	1	7	5	8	17	14	7	13	3	5	7	8	7	34	14	9	16	15	3	1	0	5	7	11	16	16	18	23	51	12	15	20	21	24	32	21	20	15	20	25	31	36	41	33	20	13	15	10	10	8	8	7	7	6	5	3	8	7	9	12	11	11	8	7	7	7	7	18	15	13	15	2	2
OG0000082	10	16	19	8	18	26	23	30	31	36	25	34	14	34	32	29	27	15	9	22	34	25	6	25	16	5	10	13	42	9	6	6	1	10	14	46	29	28	34	7	7	8	8	2	2	8	9	15	7	13	1	0	0	5	8	12	13	15	14	13	19	14	19	24	26	27	31	27	25	24	30	30	27	26	22	26	19	20	17	12	11	12	12	13	18	10	7	5	11	17	30	30	31	9	7	7	7	6	3	9	10	11	10	2	1
